dt      ,x         ,y         ,position  ,velocity  ,acceleration,jerk       ,heading
0.010000,204.000000,-11.000000,0.000496  ,0.099206  ,9.920635    ,992.063492 ,3.141591
0.010000,203.998422,-11.000000,0.002480  ,0.297619  ,19.841270   ,992.063492 ,3.141600
0.010000,203.993958,-11.000000,0.006944  ,0.595238  ,29.761905   ,992.063492 ,3.141621
0.010000,203.986021,-11.000000,0.014881  ,0.992063  ,39.682540   ,992.063492 ,3.141659
0.010000,203.973620,-11.000002,0.027282  ,1.488095  ,49.603175   ,992.063492 ,3.141718
0.010000,203.955763,-11.000005,0.045139  ,2.083333  ,59.523810   ,992.063492 ,3.141802
0.010000,203.931458,-11.000011,0.069444  ,2.777778  ,69.444444   ,992.063492 ,3.141918
0.010000,203.899712,-11.000024,0.101190  ,3.571429  ,79.365079   ,992.063492 ,3.142069
0.010000,203.859533,-11.000047,0.141369  ,4.464286  ,89.285714   ,992.063492 ,3.142260
0.010000,203.810426,-11.000085,0.190476  ,5.357143  ,89.285714   ,0.000000   ,3.142494
0.010000,203.752390,-11.000146,0.248512  ,6.250000  ,89.285714   ,-0.000000  ,3.142772
0.010000,203.685426,-11.000235,0.315476  ,7.142857  ,89.285714   ,0.000000   ,3.143094
0.010000,203.609533,-11.000363,0.391369  ,8.035714  ,89.285714   ,-0.000000  ,3.143460
0.010000,203.524712,-11.000539,0.476190  ,8.928571  ,89.285714   ,0.000000   ,3.143871
0.010000,203.430962,-11.000774,0.569940  ,9.821429  ,89.285714   ,-0.000000  ,3.144327
0.010000,203.328284,-11.001081,0.672619  ,10.714286 ,89.285714   ,0.000000   ,3.144829
0.010000,203.216678,-11.001472,0.784226  ,11.607143 ,89.285714   ,-0.000000  ,3.145379
0.010000,203.096143,-11.001965,0.904762  ,12.500000 ,89.285714   ,0.000000   ,3.145975
0.010000,202.966680,-11.002574,1.034226  ,13.392857 ,89.285714   ,0.000000   ,3.146621
0.010000,202.828289,-11.003318,1.172619  ,14.285714 ,89.285714   ,0.000000   ,3.147315
0.010000,202.680971,-11.004216,1.319940  ,15.178571 ,89.285714   ,-0.000000  ,3.148060
0.010000,202.524724,-11.005288,1.476190  ,16.071429 ,89.285714   ,-0.000000  ,3.148857
0.010000,202.359551,-11.006558,1.641369  ,16.964286 ,89.285714   ,0.000000   ,3.149706
0.010000,202.185450,-11.008049,1.815476  ,17.857143 ,89.285714   ,0.000000   ,3.150609
0.010000,202.002422,-11.009787,1.998512  ,18.750000 ,89.285714   ,-0.000000  ,3.151568
0.010000,201.810469,-11.011799,2.190476  ,19.642857 ,89.285714   ,0.000000   ,3.152583
0.010000,201.609589,-11.014115,2.391369  ,20.535714 ,89.285714   ,0.000000   ,3.153656
0.010000,201.399784,-11.016764,2.601190  ,21.428571 ,89.285714   ,-0.000000  ,3.154789
0.010000,201.181055,-11.019781,2.819940  ,22.321429 ,89.285714   ,0.000000   ,3.155983
0.010000,200.953402,-11.023200,3.047619  ,23.214286 ,89.285714   ,0.000000   ,3.157240
0.010000,200.716827,-11.027059,3.284226  ,24.107143 ,89.285714   ,0.000000   ,3.158562
0.010000,200.471329,-11.031395,3.529762  ,25.000000 ,89.285714   ,0.000000   ,3.159951
0.010000,200.216911,-11.036251,3.784226  ,25.892857 ,89.285714   ,-0.000000  ,3.161409
0.010000,199.953574,-11.041671,4.047619  ,26.785714 ,89.285714   ,0.000000   ,3.162937
0.010000,199.681320,-11.047701,4.319940  ,27.678571 ,89.285714   ,-0.000000  ,3.164540
0.010000,199.400149,-11.054390,4.601190  ,28.571429 ,89.285714   ,0.000000   ,3.166218
0.010000,199.110065,-11.061789,4.891369  ,29.464286 ,89.285714   ,-0.000000  ,3.167974
0.010000,198.811069,-11.069952,5.190476  ,30.357143 ,89.285714   ,0.000000   ,3.169811
0.010000,198.503165,-11.078938,5.498512  ,31.250000 ,89.285714   ,-0.000000  ,3.171731
0.010000,198.186354,-11.088807,5.815476  ,32.142857 ,89.285714   ,0.000000   ,3.173738
0.010000,197.860641,-11.099622,6.141369  ,33.035714 ,89.285714   ,0.000000   ,3.175835
0.010000,197.526029,-11.111450,6.476190  ,33.928571 ,89.285714   ,-0.000000  ,3.178024
0.010000,197.182521,-11.124362,6.819940  ,34.821429 ,89.285714   ,0.000000   ,3.180310
0.010000,196.830124,-11.138432,7.172619  ,35.714286 ,89.285714   ,-0.000000  ,3.182695
0.010000,196.468841,-11.153739,7.534226  ,36.607143 ,89.285714   ,0.000000   ,3.185183
0.010000,196.098678,-11.170364,7.904762  ,37.500000 ,89.285714   ,-0.000000  ,3.187778
0.010000,195.719643,-11.188395,8.284226  ,38.392857 ,89.285714   ,0.000000   ,3.190485
0.010000,195.331741,-11.207923,8.672619  ,39.285714 ,89.285714   ,0.000000   ,3.193307
0.010000,194.934982,-11.229043,9.069940  ,40.178571 ,89.285714   ,-0.000000  ,3.196249
0.010000,194.529373,-11.251856,9.476190  ,41.071429 ,89.285714   ,0.000000   ,3.199316
0.010000,194.114925,-11.276468,9.891369  ,41.964286 ,89.285714   ,-0.000000  ,3.202512
0.010000,193.691648,-11.302991,10.315476 ,42.857143 ,89.285714   ,0.000000   ,3.205843
0.010000,193.259554,-11.331541,10.748512 ,43.750000 ,89.285714   ,-0.000000  ,3.209314
0.010000,192.818658,-11.362244,11.190476 ,44.642857 ,89.285714   ,0.000000   ,3.212931
0.010000,192.368973,-11.395227,11.641369 ,45.535714 ,89.285714   ,-0.000000  ,3.216700
0.010000,191.910517,-11.430627,12.101190 ,46.428571 ,89.285714   ,0.000000   ,3.220627
0.010000,191.443307,-11.468588,12.569940 ,47.321429 ,89.285714   ,-0.000000  ,3.224719
0.010000,190.967364,-11.509261,13.047619 ,48.214286 ,89.285714   ,0.000000   ,3.228983
0.010000,190.482709,-11.552804,13.534226 ,49.107143 ,89.285714   ,-0.000000  ,3.233426
0.010000,189.989368,-11.599385,14.029762 ,50.000000 ,89.285714   ,0.000000   ,3.238056
0.010000,189.487367,-11.649178,14.534226 ,50.892857 ,89.285714   ,0.000000   ,3.242881
0.010000,188.976738,-11.702369,15.047619 ,51.785714 ,89.285714   ,-0.000000  ,3.247910
0.010000,188.457513,-11.759151,15.569940 ,52.678571 ,89.285714   ,0.000000   ,3.253151
0.010000,187.929729,-11.819729,16.101190 ,53.571429 ,89.285714   ,-0.000000  ,3.258614
0.010000,187.393426,-11.884319,16.641369 ,54.464286 ,89.285714   ,0.000000   ,3.264310
0.010000,186.848650,-11.953146,17.190476 ,55.357143 ,89.285714   ,-0.000000  ,3.270249
0.010000,186.295451,-12.026448,17.748512 ,56.250000 ,89.285714   ,0.000000   ,3.276441
0.010000,185.733883,-12.104477,18.315476 ,57.142857 ,89.285714   ,0.000000   ,3.282899
0.010000,185.164006,-12.187494,18.891369 ,58.035714 ,89.285714   ,-0.000000  ,3.289634
0.010000,184.585888,-12.275778,19.476190 ,58.928571 ,89.285714   ,0.000000   ,3.296661
0.010000,183.999602,-12.369621,20.069940 ,59.821429 ,89.285714   ,-0.000000  ,3.303992
0.010000,183.405230,-12.469329,20.672619 ,60.714286 ,89.285714   ,0.000000   ,3.311641
0.010000,182.802862,-12.575226,21.284226 ,61.607143 ,89.285714   ,-0.000000  ,3.319625
0.010000,182.192597,-12.687650,21.904762 ,62.500000 ,89.285714   ,0.000000   ,3.327959
0.010000,181.574545,-12.806959,22.534226 ,63.392857 ,89.285714   ,0.000000   ,3.336659
0.010000,180.948828,-12.933528,23.172619 ,64.285714 ,89.285714   ,-0.000000  ,3.345743
0.010000,180.315577,-13.067753,23.819940 ,65.178571 ,89.285714   ,0.000000   ,3.355229
0.010000,179.674943,-13.210047,24.476190 ,66.071429 ,89.285714   ,-0.000000  ,3.365137
0.010000,179.027086,-13.360845,25.141369 ,66.964286 ,89.285714   ,0.000000   ,3.375487
0.010000,178.372187,-13.520606,25.815476 ,67.857143 ,89.285714   ,-0.000000  ,3.386300
0.010000,177.710444,-13.689807,26.498512 ,68.750000 ,89.285714   ,0.000000   ,3.397597
0.010000,177.042075,-13.868951,27.190476 ,69.642857 ,89.285714   ,0.000000   ,3.409402
0.010000,176.367322,-14.058563,27.891369 ,70.535714 ,89.285714   ,-0.000000  ,3.421737
0.010000,175.686450,-14.259192,28.601190 ,71.428571 ,89.285714   ,0.000000   ,3.434627
0.010000,174.999750,-14.471413,29.319940 ,72.321429 ,89.285714   ,-0.000000  ,3.448097
