dt      ,x         ,y         ,position  ,velocity  ,acceleration,jerk       ,heading
0.010000,196.000000,99.000000 ,0.000496  ,0.099206  ,9.920635    ,992.063492 ,3.141602
0.010000,195.999046,99.000000 ,0.002480  ,0.297619  ,19.841270   ,992.063492 ,3.141584
0.010000,195.994581,99.000000 ,0.006944  ,0.595238  ,29.761905   ,992.063492 ,3.141541
0.010000,195.986645,99.000001 ,0.014881  ,0.992063  ,39.682540   ,992.063492 ,3.141465
0.010000,195.974244,99.000003 ,0.027282  ,1.488095  ,49.603175   ,992.063492 ,3.141347
0.010000,195.956387,99.000009 ,0.045139  ,2.083333  ,59.523810   ,992.063492 ,3.141177
0.010000,195.932081,99.000022 ,0.069444  ,2.777778  ,69.444444   ,992.063492 ,3.140945
0.010000,195.900335,99.000047 ,0.101190  ,3.571429  ,79.365079   ,992.063492 ,3.140642
0.010000,195.860157,99.000093 ,0.141369  ,4.464286  ,89.285714   ,992.063492 ,3.140260
0.010000,195.811050,99.000170 ,0.190476  ,5.357143  ,89.285714   ,0.000000   ,3.139792
0.010000,195.753014,99.000291 ,0.248512  ,6.250000  ,89.285714   ,-0.000000  ,3.139239
0.010000,195.686050,99.000470 ,0.315476  ,7.142857  ,89.285714   ,0.000000   ,3.138601
0.010000,195.610158,99.000724 ,0.391369  ,8.035714  ,89.285714   ,-0.000000  ,3.137879
0.010000,195.525337,99.001073 ,0.476190  ,8.928571  ,89.285714   ,0.000000   ,3.137072
0.010000,195.431588,99.001539 ,0.569940  ,9.821429  ,89.285714   ,-0.000000  ,3.136181
0.010000,195.328911,99.002145 ,0.672619  ,10.714286 ,89.285714   ,0.000000   ,3.135205
0.010000,195.217307,99.002917 ,0.784226  ,11.607143 ,89.285714   ,-0.000000  ,3.134145
0.010000,195.096775,99.003883 ,0.904762  ,12.500000 ,89.285714   ,0.000000   ,3.133002
0.010000,194.967316,99.005075 ,1.034226  ,13.392857 ,89.285714   ,0.000000   ,3.131774
0.010000,194.828931,99.006525 ,1.172619  ,14.285714 ,89.285714   ,0.000000   ,3.130463
0.010000,194.681620,99.008267 ,1.319940  ,15.178571 ,89.285714   ,-0.000000  ,3.129069
0.010000,194.525384,99.010339 ,1.476190  ,16.071429 ,89.285714   ,-0.000000  ,3.127591
0.010000,194.360223,99.012781 ,1.641369  ,16.964286 ,89.285714   ,0.000000   ,3.126031
0.010000,194.186139,99.015633 ,1.815476  ,17.857143 ,89.285714   ,0.000000   ,3.124388
0.010000,194.003133,99.018940 ,1.998512  ,18.750000 ,89.285714   ,-0.000000  ,3.122663
0.010000,193.811207,99.022747 ,2.190476  ,19.642857 ,89.285714   ,0.000000   ,3.120856
0.010000,193.610361,99.027102 ,2.391369  ,20.535714 ,89.285714   ,0.000000   ,3.118968
0.010000,193.400598,99.032055 ,2.601190  ,21.428571 ,89.285714   ,-0.000000  ,3.116998
0.010000,193.181920,99.037659 ,2.819940  ,22.321429 ,89.285714   ,0.000000   ,3.114948
0.010000,192.954329,99.043967 ,3.047619  ,23.214286 ,89.285714   ,0.000000   ,3.112818
0.010000,192.717828,99.051036 ,3.284226  ,24.107143 ,89.285714   ,0.000000   ,3.110608
0.010000,192.472419,99.058924 ,3.529762  ,25.000000 ,89.285714   ,0.000000   ,3.108319
0.010000,192.218106,99.067690 ,3.784226  ,25.892857 ,89.285714   ,-0.000000  ,3.105951
0.010000,191.954892,99.077398 ,4.047619  ,26.785714 ,89.285714   ,0.000000   ,3.103504
0.010000,191.682781,99.088112 ,4.319940  ,27.678571 ,89.285714   ,-0.000000  ,3.100980
0.010000,191.401778,99.099896 ,4.601190  ,28.571429 ,89.285714   ,0.000000   ,3.098380
0.010000,191.111888,99.112820 ,4.891369  ,29.464286 ,89.285714   ,-0.000000  ,3.095702
0.010000,190.813115,99.126953 ,5.190476  ,30.357143 ,89.285714   ,0.000000   ,3.092950
0.010000,190.505465,99.142366 ,5.498512  ,31.250000 ,89.285714   ,-0.000000  ,3.090122
0.010000,190.188945,99.159132 ,5.815476  ,32.142857 ,89.285714   ,0.000000   ,3.087221
0.010000,189.863560,99.177327 ,6.141369  ,33.035714 ,89.285714   ,0.000000   ,3.084246
0.010000,189.529319,99.197027 ,6.476190  ,33.928571 ,89.285714   ,-0.000000  ,3.081198
0.010000,189.186229,99.218310 ,6.819940  ,34.821429 ,89.285714   ,0.000000   ,3.078080
0.010000,188.834297,99.241256 ,7.172619  ,35.714286 ,89.285714   ,-0.000000  ,3.074890
0.010000,188.473534,99.265947 ,7.534226  ,36.607143 ,89.285714   ,0.000000   ,3.071632
0.010000,188.103949,99.292464 ,7.904762  ,37.500000 ,89.285714   ,-0.000000  ,3.068304
0.010000,187.725551,99.320892 ,8.284226  ,38.392857 ,89.285714   ,0.000000   ,3.064909
0.010000,187.338352,99.351317 ,8.672619  ,39.285714 ,89.285714   ,0.000000   ,3.061448
0.010000,186.942363,99.383825 ,9.069940  ,40.178571 ,89.285714   ,-0.000000  ,3.057922
0.010000,186.537596,99.418504 ,9.476190  ,41.071429 ,89.285714   ,0.000000   ,3.054332
0.010000,186.124064,99.455442 ,9.891369  ,41.964286 ,89.285714   ,-0.000000  ,3.050679
0.010000,185.701781,99.494731 ,10.315476 ,42.857143 ,89.285714   ,0.000000   ,3.046965
0.010000,185.270761,99.536461 ,10.748512 ,43.750000 ,89.285714   ,-0.000000  ,3.043191
0.010000,184.831019,99.580725 ,11.190476 ,44.642857 ,89.285714   ,0.000000   ,3.039359
0.010000,184.382571,99.627614 ,11.641369 ,45.535714 ,89.285714   ,-0.000000  ,3.035469
0.010000,183.925434,99.677223 ,12.101190 ,46.428571 ,89.285714   ,0.000000   ,3.031525
0.010000,183.459625,99.729645 ,12.569940 ,47.321429 ,89.285714   ,-0.000000  ,3.027526
0.010000,182.985162,99.784976 ,13.047619 ,48.214286 ,89.285714   ,0.000000   ,3.023476
0.010000,182.502064,99.843311 ,13.534226 ,49.107143 ,89.285714   ,-0.000000  ,3.019375
0.010000,182.010352,99.904745 ,14.029762 ,50.000000 ,89.285714   ,0.000000   ,3.015225
0.010000,181.510045,99.969374 ,14.534226 ,50.892857 ,89.285714   ,0.000000   ,3.011029
0.010000,181.001165,100.037295,15.047619 ,51.785714 ,89.285714   ,-0.000000  ,3.006788
0.010000,180.483735,100.108602,15.569940 ,52.678571 ,89.285714   ,0.000000   ,3.002505
0.010000,179.957776,100.183394,16.101190 ,53.571429 ,89.285714   ,-0.000000  ,2.998180
0.010000,179.423313,100.261765,16.641369 ,54.464286 ,89.285714   ,0.000000   ,2.993816
0.010000,178.880371,100.343811,17.190476 ,55.357143 ,89.285714   ,-0.000000  ,2.989416
0.010000,178.328974,100.429628,17.748512 ,56.250000 ,89.285714   ,0.000000   ,2.984982
0.010000,177.769148,100.519311,18.315476 ,57.142857 ,89.285714   ,0.000000   ,2.980515
0.010000,177.200920,100.612953,18.891369 ,58.035714 ,89.285714   ,-0.000000  ,2.976018
0.010000,176.624317,100.710649,19.476190 ,58.928571 ,89.285714   ,0.000000   ,2.971494
0.010000,176.039367,100.812492,20.069940 ,59.821429 ,89.285714   ,-0.000000  ,2.966945
0.010000,175.446098,100.918573,20.672619 ,60.714286 ,89.285714   ,0.000000   ,2.962373
0.010000,174.844540,101.028983,21.284226 ,61.607143 ,89.285714   ,-0.000000  ,2.957780
0.010000,174.234722,101.143812,21.904762 ,62.500000 ,89.285714   ,0.000000   ,2.953171
0.010000,173.616674,101.263149,22.534226 ,63.392857 ,89.285714   ,0.000000   ,2.948546
0.010000,172.990426,101.387080,23.172619 ,64.285714 ,89.285714   ,-0.000000  ,2.943909
0.010000,172.356010,101.515690,23.819940 ,65.178571 ,89.285714   ,0.000000   ,2.939262
0.010000,171.713457,101.649064,24.476190 ,66.071429 ,89.285714   ,-0.000000  ,2.934608
0.010000,171.062798,101.787284,25.141369 ,66.964286 ,89.285714   ,0.000000   ,2.929950
0.010000,170.404065,101.930429,25.815476 ,67.857143 ,89.285714   ,-0.000000  ,2.925292
0.010000,169.737290,102.078577,26.498512 ,68.750000 ,89.285714   ,0.000000   ,2.920634
0.010000,169.062505,102.231805,27.190476 ,69.642857 ,89.285714   ,0.000000   ,2.915982
0.010000,168.379742,102.390186,27.891369 ,70.535714 ,89.285714   ,-0.000000  ,2.911336
0.010000,167.689033,102.553792,28.601190 ,71.428571 ,89.285714   ,0.000000   ,2.906702
0.010000,166.990410,102.722690,29.319940 ,72.321429 ,89.285714   ,-0.000000  ,2.902081
0.010000,166.283905,102.896948,30.047619 ,73.214286 ,89.285714   ,0.000000   ,2.897476
0.010000,165.569549,103.076627,30.784226 ,74.107143 ,89.285714   ,-0.000000  ,2.892891
0.010000,164.847374,103.261790,31.529762 ,75.000000 ,89.285714   ,0.000000   ,2.888329
0.010000,164.117410,103.452493,32.284226 ,75.892857 ,89.285714   ,0.000000   ,2.883793
0.010000,163.379687,103.648791,33.047619 ,76.785714 ,89.285714   ,-0.000000  ,2.879286
0.010000,162.634235,103.850735,33.819940 ,77.678571 ,89.285714   ,0.000000   ,2.874811
0.010000,161.881084,104.058373,34.601190 ,78.571429 ,89.285714   ,-0.000000  ,2.870371
0.010000,161.120261,104.271749,35.391369 ,79.464286 ,89.285714   ,0.000000   ,2.865970
0.010000,160.351793,104.490904,36.190476 ,80.357143 ,89.285714   ,-0.000000  ,2.861611
0.010000,159.575708,104.715875,36.998512 ,81.250000 ,89.285714   ,0.000000   ,2.857297
0.010000,158.792030,104.946697,37.815476 ,82.142857 ,89.285714   ,0.000000   ,2.853031
0.010000,158.000784,105.183398,38.641369 ,83.035714 ,89.285714   ,-0.000000  ,2.848817
0.010000,157.201992,105.426005,39.476190 ,83.928571 ,89.285714   ,0.000000   ,2.844658
0.010000,156.395677,105.674538,40.319940 ,84.821429 ,89.285714   ,-0.000000  ,2.840557
0.010000,155.581859,105.929017,41.172619 ,85.714286 ,89.285714   ,0.000000   ,2.836517
0.010000,154.760556,106.189454,42.034226 ,86.607143 ,89.285714   ,-0.000000  ,2.832542
0.010000,153.931785,106.455858,42.904762 ,87.500000 ,89.285714   ,0.000000   ,2.828636
0.010000,153.095563,106.728233,43.784226 ,88.392857 ,89.285714   ,0.000000   ,2.824800
0.010000,152.251902,107.006580,44.672619 ,89.285714 ,89.285714   ,-0.000000  ,2.821039
0.010000,151.400814,107.290895,45.569940 ,90.178571 ,89.285714   ,0.000000   ,2.817357
0.010000,150.542310,107.581167,46.476190 ,91.071429 ,89.285714   ,0.000000   ,2.813755
0.010000,149.676396,107.877383,47.391369 ,91.964286 ,89.285714   ,0.000000   ,2.810238
0.010000,148.803078,108.179523,48.315476 ,92.857143 ,89.285714   ,0.000000   ,2.806810
0.010000,147.922359,108.487564,49.248512 ,93.750000 ,89.285714   ,-0.000000  ,2.803472
0.010000,147.034240,108.801477,50.190476 ,94.642857 ,89.285714   ,0.000000   ,2.800230
0.010000,146.138720,109.121227,51.141369 ,95.535714 ,89.285714   ,0.000000   ,2.797085
0.010000,145.235794,109.446775,52.101190 ,96.428571 ,89.285714   ,-0.000000  ,2.794042
0.010000,144.325922,109.777905,53.069444 ,97.222222 ,79.365079   ,-992.063492,2.791105
0.010000,143.410023,110.114220,54.045139 ,97.916667 ,69.444444   ,-992.063492,2.788280
0.010000,142.489010,110.455306,55.027282 ,98.511905 ,59.523810   ,-992.063492,2.785573
0.010000,141.563791,110.800736,56.014881 ,99.007937 ,49.603175   ,-992.063492,2.782989
0.010000,140.635267,111.150069,57.006944 ,99.404762 ,39.682540   ,-992.063492,2.780532
0.010000,139.704335,111.502852,58.002480 ,99.702381 ,29.761905   ,-992.063492,2.778206
0.010000,138.771885,111.858622,59.000496 ,99.900794 ,19.841270   ,-992.063492,2.776013
0.010000,137.838804,112.216905,60.000000 ,100.000000,9.920635    ,-992.063492,2.773958
0.010000,136.905973,112.577219,61.000000 ,100.000000,0.000000    ,-992.063492,2.772041
0.010000,135.973809,112.939255,62.000000 ,100.000000,0.000000    ,0.000000   ,2.770264
0.010000,135.042264,113.302882,63.000000 ,100.000000,0.000000    ,0.000000   ,2.768627
0.010000,134.111291,113.667969,64.000000 ,100.000000,0.000000    ,0.000000   ,2.767129
0.010000,133.180840,114.034386,65.000000 ,100.000000,0.000000    ,0.000000   ,2.765769
0.010000,132.250863,114.402003,66.000000 ,100.000000,0.000000    ,0.000000   ,2.764549
0.010000,131.321310,114.770691,67.000000 ,100.000000,0.000000    ,0.000000   ,2.763466
0.010000,130.392131,115.140320,68.000000 ,100.000000,0.000000    ,0.000000   ,2.762522
0.010000,129.463275,115.510761,69.000000 ,100.000000,0.000000    ,0.000000   ,2.761717
0.010000,128.534692,115.881887,70.000000 ,100.000000,0.000000    ,0.000000   ,2.761049
0.010000,127.606332,116.253569,71.000000 ,100.000000,0.000000    ,0.000000   ,2.760519
0.010000,126.678143,116.625679,72.000000 ,100.000000,0.000000    ,0.000000   ,2.760127
0.010000,125.750075,116.998089,73.000000 ,100.000000,0.000000    ,0.000000   ,2.759873
0.010000,124.822076,117.370671,74.000000 ,100.000000,0.000000    ,0.000000   ,2.759756
0.010000,123.894094,117.743297,75.000000 ,100.000000,0.000000    ,0.000000   ,2.759777
0.010000,122.966079,118.115839,76.000000 ,100.000000,0.000000    ,0.000000   ,2.759936
0.010000,122.037979,118.488171,77.000000 ,100.000000,0.000000    ,0.000000   ,2.760232
0.010000,121.109744,118.860163,78.000000 ,100.000000,0.000000    ,0.000000   ,2.760667
0.010000,120.181321,119.231689,79.000000 ,100.000000,0.000000    ,0.000000   ,2.761239
0.010000,119.252660,119.602619,80.000000 ,100.000000,0.000000    ,0.000000   ,2.761949
0.010000,118.323711,119.972826,81.000000 ,100.000000,0.000000    ,0.000000   ,2.762797
0.010000,117.394422,120.342181,82.000000 ,100.000000,0.000000    ,0.000000   ,2.763783
0.010000,116.464745,120.710554,83.000000 ,100.000000,0.000000    ,0.000000   ,2.764907
0.010000,115.534628,121.077818,84.000000 ,100.000000,0.000000    ,0.000000   ,2.766170
0.010000,114.604022,121.443842,85.000000 ,100.000000,0.000000    ,0.000000   ,2.767572
0.010000,113.672880,121.808497,86.000000 ,100.000000,0.000000    ,0.000000   ,2.769113
0.010000,112.741151,122.171651,87.000000 ,100.000000,0.000000    ,0.000000   ,2.770793
0.010000,111.808788,122.533174,88.000000 ,100.000000,0.000000    ,0.000000   ,2.772613
0.010000,110.875886,122.892881,88.999848 ,99.969506 ,-3.049426   ,-304.942585,2.774572
0.010000,109.943004,123.250408,89.998894 ,99.839805 ,-12.970061  ,-992.063492,2.776669
0.010000,109.011026,123.605276,90.996148 ,99.610898 ,-22.890696  ,-992.063492,2.778902
0.010000,108.080840,123.957014,91.990616 ,99.282785 ,-32.811331  ,-992.063492,2.781269
0.010000,107.153337,124.305163,92.981307 ,98.855465 ,-42.731966  ,-992.063492,2.783765
0.010000,106.229416,124.649272,93.967229 ,98.328939 ,-52.652600  ,-992.063492,2.786387
0.010000,105.309979,124.988905,94.947390 ,97.703207 ,-62.573235  ,-992.063492,2.789130
0.010000,104.395936,125.323639,95.920797 ,96.978268 ,-72.493870  ,-992.063492,2.791989
0.010000,103.488203,125.653066,96.886459 ,96.154123 ,-82.414505  ,-992.063492,2.794958
0.010000,102.587556,125.976843,97.843536 ,95.261266 ,-89.285714  ,-687.120907,2.798033
0.010000,101.694314,126.294810,98.791685 ,94.368409 ,-89.285714  ,0.000000   ,2.801208
0.010000,100.808473,126.606929,99.730904 ,93.475552 ,-89.285714  ,0.000000   ,2.804479
0.010000,99.930032 ,126.913168,100.661196,92.582695 ,-89.285714  ,-0.000000  ,2.807845
0.010000,99.058992 ,127.213497,101.582558,91.689837 ,-89.285714  ,-0.000000  ,2.811301
0.010000,98.195358 ,127.507896,102.494992,90.796980 ,-89.285714  ,0.000000   ,2.814844
0.010000,97.339135 ,127.796347,103.398498,89.904123 ,-89.285714  ,0.000000   ,2.818470
0.010000,96.490332 ,128.078837,104.293075,89.011266 ,-89.285714  ,-0.000000  ,2.822177
0.010000,95.648959 ,128.355357,105.178723,88.118409 ,-89.285714  ,0.000000   ,2.825961
0.010000,94.815028 ,128.625906,106.055443,87.225552 ,-89.285714  ,0.000000   ,2.829818
0.010000,93.988554 ,128.890484,106.923234,86.332695 ,-89.285714  ,-0.000000  ,2.833746
0.010000,93.169553 ,129.149098,107.782097,85.439837 ,-89.285714  ,0.000000   ,2.837741
0.010000,92.358042 ,129.401757,108.632031,84.546980 ,-89.285714  ,-0.000000  ,2.841799
0.010000,91.554040 ,129.648477,109.473037,83.654123 ,-89.285714  ,0.000000   ,2.845918
0.010000,90.757569 ,129.889276,110.305114,82.761266 ,-89.285714  ,0.000000   ,2.850094
0.010000,89.968649 ,130.124177,111.128262,81.868409 ,-89.285714  ,-0.000000  ,2.854324
0.010000,89.187306 ,130.353207,111.942482,80.975552 ,-89.285714  ,0.000000   ,2.858605
0.010000,88.413562 ,130.576397,112.747773,80.082695 ,-89.285714  ,-0.000000  ,2.862933
0.010000,87.647444 ,130.793782,113.544136,79.189837 ,-89.285714  ,0.000000   ,2.867305
0.010000,86.888979 ,131.005400,114.331570,78.296980 ,-89.285714  ,-0.000000  ,2.871718
0.010000,86.138195 ,131.211293,115.110075,77.404123 ,-89.285714  ,0.000000   ,2.876168
0.010000,85.395119 ,131.411507,115.879652,76.511266 ,-89.285714  ,0.000000   ,2.880653
0.010000,84.659780 ,131.606091,116.640301,75.618409 ,-89.285714  ,-0.000000  ,2.885169
0.010000,83.932210 ,131.795096,117.392020,74.725552 ,-89.285714  ,0.000000   ,2.889714
