dt      ,x         ,y          ,position  ,velocity  ,acceleration,jerk       ,heading
0.010000,22.000000 ,-136.000000,0.000496  ,0.099206  ,9.920635    ,992.063492 ,6.283170
0.010000,22.000340 ,-136.000000,0.002480  ,0.297619  ,19.841270   ,992.063492 ,0.000003
0.010000,22.004804 ,-136.000000,0.006944  ,0.595238  ,29.761905   ,992.063492 ,0.000044
0.010000,22.012740 ,-135.999999,0.014881  ,0.992063  ,39.682540   ,992.063492 ,0.000117
0.010000,22.025141 ,-135.999997,0.027282  ,1.488095  ,49.603175   ,992.063492 ,0.000230
0.010000,22.042998 ,-135.999992,0.045139  ,2.083333  ,59.523810   ,992.063492 ,0.000394
0.010000,22.067304 ,-135.999979,0.069444  ,2.777778  ,69.444444   ,992.063492 ,0.000617
0.010000,22.099050 ,-135.999955,0.101190  ,3.571429  ,79.365079   ,992.063492 ,0.000908
0.010000,22.139228 ,-135.999911,0.141369  ,4.464286  ,89.285714   ,992.063492 ,0.001276
0.010000,22.188335 ,-135.999837,0.190476  ,5.357143  ,89.285714   ,0.000000   ,0.001726
0.010000,22.246371 ,-135.999722,0.248512  ,6.250000  ,89.285714   ,-0.000000  ,0.002258
0.010000,22.313335 ,-135.999550,0.315476  ,7.142857  ,89.285714   ,0.000000   ,0.002872
0.010000,22.389228 ,-135.999306,0.391369  ,8.035714  ,89.285714   ,-0.000000  ,0.003568
0.010000,22.474048 ,-135.998970,0.476190  ,8.928571  ,89.285714   ,0.000000   ,0.004346
0.010000,22.567797 ,-135.998522,0.569940  ,9.821429  ,89.285714   ,-0.000000  ,0.005205
0.010000,22.670474 ,-135.997939,0.672619  ,10.714286 ,89.285714   ,0.000000   ,0.006147
0.010000,22.782079 ,-135.997196,0.784226  ,11.607143 ,89.285714   ,-0.000000  ,0.007171
0.010000,22.902611 ,-135.996265,0.904762  ,12.500000 ,89.285714   ,0.000000   ,0.008276
0.010000,23.032070 ,-135.995117,1.034226  ,13.392857 ,89.285714   ,0.000000   ,0.009463
0.010000,23.170456 ,-135.993720,1.172619  ,14.285714 ,89.285714   ,0.000000   ,0.010733
0.010000,23.317768 ,-135.992039,1.319940  ,15.178571 ,89.285714   ,-0.000000  ,0.012084
0.010000,23.474005 ,-135.990039,1.476190  ,16.071429 ,89.285714   ,-0.000000  ,0.013518
0.010000,23.639167 ,-135.987681,1.641369  ,16.964286 ,89.285714   ,0.000000   ,0.015033
0.010000,23.813252 ,-135.984925,1.815476  ,17.857143 ,89.285714   ,0.000000   ,0.016630
0.010000,23.996260 ,-135.981727,1.998512  ,18.750000 ,89.285714   ,-0.000000  ,0.018310
0.010000,24.188189 ,-135.978044,2.190476  ,19.642857 ,89.285714   ,0.000000   ,0.020071
0.010000,24.389037 ,-135.973827,2.391369  ,20.535714 ,89.285714   ,0.000000   ,0.021914
0.010000,24.598804 ,-135.969027,2.601190  ,21.428571 ,89.285714   ,-0.000000  ,0.023839
0.010000,24.817486 ,-135.963593,2.819940  ,22.321429 ,89.285714   ,0.000000   ,0.025846
0.010000,25.045082 ,-135.957472,3.047619  ,23.214286 ,89.285714   ,0.000000   ,0.027935
0.010000,25.281590 ,-135.950607,3.284226  ,24.107143 ,89.285714   ,0.000000   ,0.030105
0.010000,25.527006 ,-135.942939,3.529762  ,25.000000 ,89.285714   ,0.000000   ,0.032357
0.010000,25.781327 ,-135.934410,3.784226  ,25.892857 ,89.285714   ,-0.000000  ,0.034691
0.010000,26.044550 ,-135.924957,4.047619  ,26.785714 ,89.285714   ,0.000000   ,0.037106
0.010000,26.316671 ,-135.914515,4.319940  ,27.678571 ,89.285714   ,-0.000000  ,0.039602
0.010000,26.597686 ,-135.903017,4.601190  ,28.571429 ,89.285714   ,0.000000   ,0.042180
0.010000,26.887590 ,-135.890396,4.891369  ,29.464286 ,89.285714   ,-0.000000  ,0.044839
0.010000,27.186378 ,-135.876579,5.190476  ,30.357143 ,89.285714   ,0.000000   ,0.047579
0.010000,27.494044 ,-135.861495,5.498512  ,31.250000 ,89.285714   ,-0.000000  ,0.050400
0.010000,27.810582 ,-135.845068,5.815476  ,32.142857 ,89.285714   ,0.000000   ,0.053301
0.010000,28.135986 ,-135.827220,6.141369  ,33.035714 ,89.285714   ,0.000000   ,0.056282
0.010000,28.470248 ,-135.807874,6.476190  ,33.928571 ,89.285714   ,-0.000000  ,0.059343
0.010000,28.813360 ,-135.786948,6.819940  ,34.821429 ,89.285714   ,0.000000   ,0.062485
0.010000,29.165314 ,-135.764358,7.172619  ,35.714286 ,89.285714   ,-0.000000  ,0.065705
0.010000,29.526101 ,-135.740021,7.534226  ,36.607143 ,89.285714   ,0.000000   ,0.069005
0.010000,29.895711 ,-135.713848,7.904762  ,37.500000 ,89.285714   ,-0.000000  ,0.072383
