dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,69.000000,46.000000,0.000098,0.019639,1.963865,196.386489,0.000019
0.010000,69.000000,46.000000,0.000491,0.058916,3.927730,196.386489,0.000016
0.010000,69.000000,46.000000,0.001375,0.117832,5.891595,196.386489,0.000009
0.010000,69.000328,46.000000,0.002946,0.196386,7.855460,196.386489,6.283183
0.010000,69.002783,46.000000,0.005401,0.294580,9.819324,196.386489,6.283164
0.010000,69.006318,46.000000,0.008936,0.412412,11.783189,196.386489,6.283138
0.010000,69.011130,46.000000,0.013747,0.549882,13.747054,196.386489,6.283101
0.010000,69.017414,45.999999,0.020031,0.706991,15.710919,196.386489,6.283054
0.010000,69.025368,45.999998,0.027985,0.883739,17.674784,196.386489,6.282994
0.010000,69.035187,45.999995,0.037804,1.080126,19.638649,196.386489,6.282920
0.010000,69.047068,45.999992,0.049686,1.296151,21.602514,196.386489,6.282831
0.010000,69.061208,45.999986,0.063826,1.531815,23.566379,196.386489,6.282724
0.010000,69.077803,45.999977,0.080420,1.787117,25.530244,196.386489,6.282599
0.010000,69.097049,45.999964,0.099666,2.062058,27.494108,196.386489,6.282453
0.010000,69.119142,45.999946,0.121760,2.356638,29.457973,196.386489,6.282286
0.010000,69.144280,45.999921,0.146897,2.670856,31.421838,196.386489,6.282096
0.010000,69.172657,45.999888,0.175275,3.004713,33.385703,196.386489,6.281882
0.010000,69.204472,45.999842,0.207090,3.358209,35.349568,196.386489,6.281641
0.010000,69.239920,45.999783,0.242537,3.731343,37.313433,196.386489,6.281372
0.010000,69.279197,45.999706,0.281815,4.124116,39.277298,196.386489,6.281074
0.010000,69.322500,45.999607,0.325118,4.536528,41.241163,196.386489,6.280745
0.010000,69.370025,45.999483,0.372643,4.968578,43.205027,196.386489,6.280384
0.010000,69.421969,45.999327,0.424588,5.420267,45.168892,196.386489,6.279988
0.010000,69.478528,45.999134,0.481147,5.891595,47.132757,196.386489,6.279557
0.010000,69.539899,45.998897,0.542518,6.382561,49.096622,196.386489,6.279088
0.010000,69.606277,45.998608,0.608896,6.893166,51.060487,196.386489,6.278580
0.010000,69.677859,45.998259,0.680479,7.423409,53.024352,196.386489,6.278031
0.010000,69.754841,45.997839,0.757463,7.973291,54.988217,196.386489,6.277440
0.010000,69.837420,45.997338,0.840043,8.542812,56.952082,196.386489,6.276804
0.010000,69.925792,45.996744,0.928417,9.131972,58.915947,196.386489,6.276121
0.010000,70.020153,45.996043,1.022781,9.740770,60.879811,196.386489,6.275391
0.010000,70.120700,45.995220,1.123331,10.369207,62.843676,196.386489,6.274611
0.010000,70.227628,45.994259,1.230263,11.017282,64.807541,196.386489,6.273779
0.010000,70.341134,45.993141,1.343775,11.684996,66.771406,196.386489,6.272893
0.010000,70.461413,45.991846,1.464061,12.372349,68.735271,196.386489,6.271950
0.010000,70.588663,45.990353,1.591320,13.079340,70.699136,196.386489,6.270950
0.010000,70.723079,45.988637,1.725746,13.805970,72.663001,196.386489,6.269890
0.010000,70.864856,45.986672,1.867537,14.552239,74.626866,196.386489,6.268767
0.010000,71.014093,45.984432,2.016791,15.298507,74.626866,-0.000000,6.267580
0.010000,71.170789,45.981888,2.173507,16.044776,74.626866,0.000000,6.266328
0.010000,71.334943,45.979013,2.337687,16.791045,74.626866,-0.000000,6.265011
0.010000,71.506554,45.975775,2.509328,17.537313,74.626866,0.000000,6.263628
0.010000,71.685621,45.972143,2.688433,18.283582,74.626866,-0.000000,6.262177
0.010000,71.872144,45.968082,2.875000,19.029851,74.626866,0.000000,6.260658
0.010000,72.066121,45.963557,3.069030,19.776119,74.626866,0.000000,6.259069
0.010000,72.267551,45.958532,3.270522,20.522388,74.626866,-0.000000,6.257410
