dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,69.000000,46.000000,0.000098,0.019639,1.963865,196.386489,6.283181
0.010000,69.000000,46.000000,0.000491,0.058916,3.927730,196.386489,6.283183
0.010000,69.000461,46.000000,0.001375,0.117832,5.891595,196.386489,0.000002
0.010000,69.002032,46.000000,0.002946,0.196386,7.855460,196.386489,0.000010
0.010000,69.004487,46.000000,0.005401,0.294580,9.819324,196.386489,0.000021
0.010000,69.008022,46.000000,0.008936,0.412412,11.783189,196.386489,0.000038
0.010000,69.012833,46.000000,0.013747,0.549882,13.747054,196.386489,0.000061
0.010000,69.019118,46.000001,0.020031,0.706991,15.710919,196.386489,0.000090
0.010000,69.027071,46.000002,0.027985,0.883739,17.674784,196.386489,0.000128
0.010000,69.036891,46.000003,0.037804,1.080126,19.638649,196.386489,0.000174
0.010000,69.048772,46.000006,0.049686,1.296151,21.602514,196.386489,0.000230
0.010000,69.062912,46.000009,0.063826,1.531815,23.566379,196.386489,0.000297
0.010000,69.079506,46.000015,0.080420,1.787117,25.530244,196.386489,0.000376
0.010000,69.098752,46.000023,0.099666,2.062058,27.494108,196.386489,0.000467
0.010000,69.120846,46.000034,0.121760,2.356638,29.457973,196.386489,0.000571
0.010000,69.145983,46.000050,0.146897,2.670856,31.421838,196.386489,0.000690
0.010000,69.174361,46.000072,0.175275,3.004713,33.385703,196.386489,0.000825
0.010000,69.206176,46.000100,0.207090,3.358209,35.349568,196.386489,0.000975
0.010000,69.241623,46.000138,0.242537,3.731343,37.313433,196.386489,0.001143
0.010000,69.280901,46.000187,0.281815,4.124116,39.277298,196.386489,0.001330
0.010000,69.324204,46.000249,0.325118,4.536528,41.241163,196.386489,0.001535
0.010000,69.371729,46.000327,0.372643,4.968578,43.205027,196.386489,0.001761
0.010000,69.423673,46.000425,0.424588,5.420267,45.168892,196.386489,0.002009
0.010000,69.480233,46.000546,0.481147,5.891595,47.132757,196.386489,0.002278
0.010000,69.541603,46.000695,0.542518,6.382561,49.096622,196.386489,0.002571
0.010000,69.607982,46.000876,0.608896,6.893166,51.060487,196.386489,0.002888
0.010000,69.679564,46.001095,0.680479,7.423409,53.024352,196.386489,0.003230
0.010000,69.756547,46.001358,0.757463,7.973291,54.988217,196.386489,0.003599
0.010000,69.839127,46.001671,0.840043,8.542812,56.952082,196.386489,0.003995
0.010000,69.927500,46.002043,0.928417,9.131972,58.915947,196.386489,0.004420
0.010000,70.021863,46.002482,1.022781,9.740770,60.879811,196.386489,0.004874
0.010000,70.122412,46.002996,1.123331,10.369207,62.843676,196.386489,0.005359
0.010000,70.229342,46.003597,1.230263,11.017282,64.807541,196.386489,0.005877
0.010000,70.342852,46.004295,1.343775,11.684996,66.771406,196.386489,0.006427
0.010000,70.463136,46.005103,1.464061,12.372349,68.735271,196.386489,0.007011
0.010000,70.590391,46.006035,1.591320,13.079340,70.699136,196.386489,0.007631
0.010000,70.724813,46.007105,1.725746,13.805970,72.663001,196.386489,0.008287
0.010000,70.866599,46.008329,1.867537,14.552239,74.626866,196.386489,0.008981
0.010000,71.015846,46.009724,2.016791,15.298507,74.626866,-0.000000,0.009714
0.010000,71.172554,46.011307,2.173507,16.044776,74.626866,0.000000,0.010486
0.010000,71.336724,46.013095,2.337687,16.791045,74.626866,-0.000000,0.011297
0.010000,71.508354,46.015107,2.509328,17.537313,74.626866,0.000000,0.012148
0.010000,71.687444,46.017363,2.688433,18.283582,74.626866,-0.000000,0.013040
0.010000,71.873994,46.019882,2.875000,19.029851,74.626866,0.000000,0.013972
0.010000,72.068004,46.022687,3.069030,19.776119,74.626866,0.000000,0.014944
0.010000,72.269472,46.025801,3.270522,20.522388,74.626866,-0.000000,0.015958
0.010000,72.478399,46.029245,3.479478,21.268657,74.626866,0.000000,0.017014
0.010000,72.694783,46.033046,3.695896,22.014925,74.626866,0.000000,0.018113
0.010000,72.918625,46.037229,3.919776,22.761194,74.626866,0.000000,0.019254
0.010000,73.149923,46.041819,4.151119,23.507463,74.626866,-0.000000,0.020439
0.010000,73.388676,46.046847,4.389925,24.253731,74.626866,0.000000,0.021667
0.010000,73.634883,46.052339,4.636194,25.000000,74.626866,0.000000,0.022940
0.010000,73.888544,46.058326,4.889925,25.746269,74.626866,-0.000000,0.024258
0.010000,74.149657,46.064839,5.151119,26.492537,74.626866,0.000000,0.025622
0.010000,74.418220,46.071911,5.419776,27.238806,74.626866,-0.000000,0.027032
0.010000,74.694233,46.079575,5.695896,27.985075,74.626866,0.000000,0.028489
0.010000,74.977694,46.087866,5.979478,28.731343,74.626866,-0.000000,0.029994
0.010000,75.268601,46.096820,6.270522,29.477612,74.626866,0.000000,0.031546
0.010000,75.566952,46.106474,6.569030,30.223881,74.626866,-0.000000,0.033148
0.010000,75.872746,46.116867,6.875000,30.970149,74.626866,0.000000,0.034800
0.010000,76.185979,46.128038,7.188433,31.716418,74.626866,-0.000000,0.036502
0.010000,76.506651,46.140030,7.509328,32.462687,74.626866,0.000000,0.038255
